moneda,compra,venta,Fecha
Dólar de N.A.,3.635,3.645,09-05-2025
Dólar Australiano,2.538,2.538,09-05-2025
Dólar Canadiense,2.431,2.622,09-05-2025
Peso Chileno,0.003,0.003,09-05-2025
Libra Esterlina,4.613,4.896,09-05-2025
Peso Mexicano,0.186,0.188,09-05-2025
Franco Suizo,4.317,4.572,09-05-2025
Euro,3.928,4.179,09-05-2025
Dólar de N.A.,3.652,3.662,12-05-2025
Dólar Australiano,2.146,2.516,12-05-2025
Dólar Canadiense,2.271,2.646,12-05-2025
Libra Esterlina,4.479,4.865,12-05-2025
Yen Japonés,0.025,0.025,12-05-2025
Peso Mexicano,0.186,0.188,12-05-2025
Franco Suizo,4.084,4.333,12-05-2025
Euro,3.803,4.384,12-05-2025
Dólar de N.A.,3.69,3.696,18-05-2025
Dólar Australiano,2.353,2.541,18-05-2025
Dólar Canadiense,2.471,2.864,18-05-2025
Libra Esterlina,4.706,5.066,18-05-2025
Yen Japonés,0.025,0.026,18-05-2025
Peso Mexicano,0.188,0.19,18-05-2025
Franco Suizo,4.02,4.761,18-05-2025
Euro,3.895,4.343,18-05-2025
Dólar de N.A.,3.69,3.696,17-05-2025
Dólar Australiano,2.353,2.541,17-05-2025
Dólar Canadiense,2.471,2.864,17-05-2025
Libra Esterlina,4.706,5.066,17-05-2025
Yen Japonés,0.025,0.026,17-05-2025
Peso Mexicano,0.188,0.19,17-05-2025
Franco Suizo,4.02,4.761,17-05-2025
Euro,3.895,4.343,17-05-2025
Dólar de N.A.,3.651,3.659,14-05-2025
Dólar Australiano,2.161,2.161,14-05-2025
Dólar Canadiense,2.542,2.62,14-05-2025
Peso Chileno,0.003,0.003,14-05-2025
Libra Esterlina,4.818,5.042,14-05-2025
Peso Mexicano,0.187,0.19,14-05-2025
Franco Suizo,4.02,4.02,14-05-2025
Euro,3.791,4.248,14-05-2025
Dólar de N.A.,3.652,3.662,13-05-2025
Dólar Australiano,2.146,2.516,13-05-2025
Dólar Canadiense,2.271,2.646,13-05-2025
Libra Esterlina,4.479,4.865,13-05-2025
Yen Japonés,0.025,0.025,13-05-2025
Peso Mexicano,0.186,0.188,13-05-2025
Franco Suizo,4.084,4.333,13-05-2025
Euro,3.803,4.384,13-05-2025
Dólar de N.A.,3.69,3.696,16-05-2025
Dólar Australiano,2.353,2.541,16-05-2025
Dólar Canadiense,2.471,2.864,16-05-2025
Libra Esterlina,4.706,5.066,16-05-2025
Yen Japonés,0.025,0.026,16-05-2025
Peso Mexicano,0.188,0.19,16-05-2025
Franco Suizo,4.02,4.761,16-05-2025
Euro,3.895,4.343,16-05-2025
Dólar de N.A.,3.675,3.682,15-05-2025
Dólar Australiano,2.264,2.556,15-05-2025
Dólar Canadiense,2.623,2.623,15-05-2025
Peso Chileno,0.003,0.003,15-05-2025
Libra Esterlina,4.788,4.98,15-05-2025
Yen Japonés,0.025,0.025,15-05-2025
Peso Mexicano,0.189,0.191,15-05-2025
Franco Suizo,4.348,4.398,15-05-2025
Euro,3.856,4.34,15-05-2025
